מצב עסקה,תאריך יצירה,סכום לחיוב,האם ליצור חשבונית,שם מוצר,ערך משתמש להחזרה
הצלחה,18/11/2019 11:15,48,מסומן,3500 Instagram Followers for 48$,215
הצלחה,03/11/2019 10:32,49,מסומן,700 קניית לייקים לאינסטגרם ב-49₪,744
הצלחה,23/11/2019 14:39,49,מסומן,700 קניית לייקים לאינסטגרם ב-49₪,1001
הצלחה,01/11/2019 18:55,50,מסומן,1000 קניית לייקים לאינסטגרם ב-50₪,726
הצלחה,20/11/2019 09:03,50,מסומן,900 קניית עוקבים באינסטגרם ב-50₪,961
הצלחה,26/11/2019 03:50,50,מסומן,900 קניית עוקבים באינסטגרם ב-50₪,1037
הצלחה,27/11/2019 11:40,50,מסומן,100 תגובות לאינסטגרם ב-50₪,1054
הצלחה,05/12/2019 21:21,50,מסומן,70 תגובות בעברית ממשתמשים ישראלים ב-50₪,1158
הצלחה,06/12/2019 10:08,50,מסומן,180 עוקבים ישראלים באינסטגרם ב-50₪,1166
הצלחה,17/11/2019 18:29,52,מסומן,800 קניית לייקים לאינסטגרם ב-52₪,931
הצלחה,14/11/2019 13:56,53,מסומן,3900 Instagram Followers for 53$,199
הצלחה,13/11/2019 02:22,54,מסומן,4000 Instagram Followers for 54$,191
הצלחה,02/11/2019 23:30,55,מסומן,1000 קניית עוקבים באינסטגרם ב-55₪,741
הצלחה,11/11/2019 20:16,55,מסומן,1000 קניית עוקבים באינסטגרם ב-55₪,846
הצלחה,15/11/2019 10:11,55,מסומן,1000 קניית עוקבים באינסטגרם ב-55₪,884
הצלחה,16/11/2019 17:41,55,מסומן,1000 קניית עוקבים באינסטגרם ב-55₪,912
הצלחה,18/11/2019 18:33,55,מסומן,1000 קניית עוקבים באינסטגרם ב-55₪,945
הצלחה,19/11/2019 23:11,55,מסומן,1000 קניית עוקבים באינסטגרם ב-55₪,955
הצלחה,25/11/2019 01:01,55,מסומן,1000 קניית עוקבים באינסטגרם ב-55₪,1021
הצלחה,25/11/2019 13:55,55,מסומן,1000 קניית עוקבים באינסטגרם ב-55₪,1025
הצלחה,13/11/2019 02:30,56,מסומן,4100 Instagram Post likes for 56$,192
הצלחה,02/12/2019 18:29,56,מסומן,200 עוקבים ישראלים באינסטגרם ב-56₪,1121
הצלחה,09/12/2019 13:18,57,מסומן,900 קניית לייקים לאינסטגרם ב-57₪,1207
הצלחה,13/11/2019 01:59,58,מסומן,4300 Instagram Followers for 58$,187
הצלחה,08/12/2019 02:45,58,מסומן,4300 Instagram Followers for 58$,248
הצלחה,19/11/2019 03:55,59,מסומן,4400 Instagram Followers for 59$,217
הצלחה,27/11/2019 17:30,59,מסומן,4400 Instagram Followers for 59$,233
הצלחה,09/11/2019 12:25,61,מסומן,1200 קניית לייקים לאינסטגרם ב-61₪,811
הצלחה,20/11/2019 20:14,61,מסומן,1200 קניית לייקים לאינסטגרם ב-61₪,968
הצלחה,26/11/2019 11:23,61,מסומן,1200 קניית לייקים לאינסטגרם ב-61₪,1038
הצלחה,10/11/2019 01:31,66,מסומן,1200 קניית עוקבים באינסטגרם ב-66₪,820
הצלחה,13/11/2019 12:41,66,מסומן,1200 קניית עוקבים באינסטגרם ב-66₪,858
הצלחה,19/11/2019 23:16,66,מסומן,1200 קניית עוקבים באינסטגרם ב-66₪,957
הצלחה,10/12/2019 18:34,66,מסומן,1300 קניית לייקים לאינסטגרם ב-66₪,1239
הצלחה,10/12/2019 23:21,66,מסומן,1200 קניית עוקבים באינסטגרם ב-66₪,1245
הצלחה,10/12/2019 11:30,67,מסומן,240 עוקבים ישראלים באינסטגרם ב-67₪,1228
הצלחה,06/12/2019 14:17,69,מסומן,300 קניית לייקים לסרטונים ב-69₪,1172
הצלחה,06/11/2019 08:16,70,מסומן,1400 קניית לייקים לאינסטגרם ב-70₪,779
הצלחה,03/11/2019 15:22,75,מסומן,1500 קניית לייקים לאינסטגרם ב-75₪,747
הצלחה,10/11/2019 22:34,83,מסומן,1500 קניית עוקבים באינסטגרם ב-83₪,827
הצלחה,24/11/2019 11:35,83,מסומן,1500 קניית עוקבים באינסטגרם ב-83₪,1015
הצלחה,09/12/2019 10:25,85,מסומן,305 עוקבים ישראלים באינסטגרם ב-85₪,1204
הצלחה,03/11/2019 16:40,88,מסומן,1600 קניית עוקבים באינסטגרם ב-88₪,748
הצלחה,11/11/2019 09:33,90,מסומן,1800 קניית לייקים לאינסטגרם ב-90₪,832
הצלחה,02/12/2019 14:53,90,מסומן,200 קניית לייקים לדפים עסקיים בפייסבוק ב-90₪,1117
הצלחה,16/11/2019 23:49,95,מסומן,1500 קניית לייקים לאינסטגרם ב-95₪,922
הצלחה,06/12/2019 01:03,95,מסומן,340 עוקבים ישראלים באינסטגרם ב-95₪,1163
הצלחה,16/11/2019 13:01,105,מסומן,1900 קניית עוקבים באינסטגרם ב-105₪,911
הצלחה,30/11/2019 21:19,105,מסומן,1900 קניית עוקבים באינסטגרם ב-105₪,1094
הצלחה,08/12/2019 13:14,105,מסומן,1900 קניית עוקבים באינסטגרם ב-105₪,1187
הצלחה,10/12/2019 08:41,105,מסומן,1900 קניית עוקבים באינסטגרם ב-105₪,1224
